Dates,UNP
2019-05-06,170.00999450683594
2019-04-04,165.5399932861328
2019-09-11,156.32000732421875
2019-11-29,152.7899932861328
2020-05-05,155.32000732421875
2019-12-02,156.35000610351562
2020-02-19,158.22000122070312
2020-05-08,153.72000122070312
2019-05-21,148.8800048828125
2019-03-18,133.17999267578125
2018-09-07,139.1699981689453
2018-08-06,138.91000366210938
2018-10-09,125.0
2019-02-14,134.80999755859375
2018-12-12,122.30000305175781
2019-07-24,120.37999725341797
2019-09-26,105.08000183105469
2019-10-28,111.68000030517578
2019-12-05,113.45999908447266
2020-05-11,109.61000061035156
2019-07-03,118.80000305175781
2020-02-25,127.0
2020-05-14,134.02000427246094
2020-02-28,134.16000366210938
2019-08-08,136.32000732421875
2019-06-05,137.52999877929688
2018-07-20,132.5
2018-08-21,134.8000030517578
2018-10-24,136.58999633789062
2019-04-02,145.7100067138672
2019-03-01,145.25999450683594
2019-01-28,145.41000366210938
2018-12-27,147.0500030517578
2019-09-09,144.6999969482422
2020-03-02,147.80999755859375
2020-05-20,143.6300048828125
2019-12-17,141.27000427246094
2020-03-05,147.61000061035156
2019-02-12,144.55999755859375
2019-01-11,141.22000122070312
2018-12-10,144.8699951171875
2019-08-23,152.0
2018-11-08,153.44000244140625
2019-07-22,158.02000427246094
2019-06-20,159.0
2018-09-05,162.77999877929688
2019-04-17,158.22999572753906
2019-09-24,154.74000549316406
2019-12-20,152.38999938964844
2020-05-26,155.8800048828125
2019-04-30,153.88999938964844
2019-12-23,155.5399932861328
2020-03-11,157.8800048828125
2020-05-29,155.8000030517578
2019-12-26,153.99000549316406
2020-06-01,150.5399932861328
2019-05-02,147.0500030517578
2019-02-27,149.75999450683594
2018-11-23,155.8300018310547
2019-08-06,158.75
2018-07-18,164.14999389648438
2018-09-20,163.00999450683594
2018-10-22,162.16000366210938
2019-07-05,168.27999877929688
2019-06-03,171.10000610351562
2019-10-09,169.3300018310547
2019-10-11,168.36000061035156
2020-03-17,167.77999877929688
2020-06-04,169.5
2019-10-14,173.02000427246094
2020-03-20,175.25999450683594
2018-11-06,182.42999267578125
2019-06-18,179.86000061035156
2019-05-17,177.0
2019-04-15,174.9499969482422
2019-03-14,163.2100067138672
2019-01-09,162.4600067138672
2018-08-02,161.41000366210938
2018-10-05,168.36000061035156
2019-08-21,170.6699981689453
2019-10-17,169.72000122070312
2020-03-23,166.8000030517578
2020-06-10,165.89999389648438
2019-02-25,169.24000549316406
2020-01-07,165.02999877929688
2020-03-26,162.77999877929688
2019-10-23,162.1300048828125
