Dates,MRK
2019-06-24,86.94999694824219
2019-05-23,86.37999725341797
2019-03-20,86.04000091552734
2019-01-15,88.43000030517578
2019-11-20,84.68000030517578
2020-02-07,86.0199966430664
2020-02-10,85.88999938964844
2020-04-29,85.08000183105469
2019-11-26,85.86000061035156
2020-02-13,85.04000091552734
2019-01-30,82.93000030517578
2018-08-23,82.2300033569336
2018-09-24,82.87999725341797
2018-11-27,83.08000183105469
2018-10-26,82.22000122070312
2019-07-09,82.19000244140625
2019-06-07,80.61000061035156
2019-05-06,81.52999877929688
2019-04-04,80.66000366210938
2019-09-11,80.70999908447266
2019-11-29,76.68000030517578
2020-05-05,77.12999725341797
2019-12-02,81.4000015258789
2020-02-19,81.5
2020-05-08,81.52999877929688
2019-05-21,79.97000122070312
2019-03-18,78.0
2018-09-07,80.4800033569336
2018-08-06,79.83000183105469
2018-10-09,74.4000015258789
2019-02-14,76.22000122070312
2018-12-12,70.7699966430664
2019-07-24,71.6500015258789
2019-09-26,71.44999694824219
2019-10-28,71.3499984741211
2019-12-05,69.55000305175781
2020-05-11,70.2699966430664
2019-07-03,68.98999786376953
2020-02-25,68.41000366210938
2020-05-14,68.13999938964844
2020-02-28,71.80000305175781
2019-08-08,73.62000274658203
2019-06-05,76.25
2018-07-20,74.66000366210938
2018-08-21,75.9800033569336
2018-10-24,76.27999877929688
2019-04-02,78.33000183105469
2019-03-01,81.68000030517578
2019-01-28,79.18000030517578
2018-12-27,81.16999816894531
2019-09-09,81.81999969482422
2020-03-02,82.33000183105469
2020-05-20,81.2300033569336
2019-12-17,82.6500015258789
2020-03-05,83.94999694824219
2019-02-12,82.81999969482422
2019-01-11,81.62000274658203
2018-12-10,79.19999694824219
2019-08-23,80.19000244140625
2018-11-08,81.5999984741211
2019-07-22,81.2300033569336
2019-06-20,81.18000030517578
2018-09-05,82.19000244140625
2019-04-17,79.81999969482422
2019-09-24,78.86000061035156
2019-12-20,78.0199966430664
2020-05-26,77.25
2019-04-30,78.3499984741211
2019-12-23,77.0
2020-03-11,76.5
2020-05-29,76.02999877929688
2019-12-26,78.1500015258789
2020-06-01,76.66000366210938
2019-05-02,77.27999877929688
2019-02-27,80.11000061035156
2018-11-23,81.0
2019-08-06,79.47000122070312
2018-07-18,78.02999877929688
2018-09-20,76.76000213623047
2018-10-22,76.16999816894531
2019-07-05,78.26000213623047
2019-06-03,77.0
2019-10-09,78.5999984741211
2019-10-11,79.45999908447266
2020-03-17,80.18000030517578
2020-06-04,79.54000091552734
2019-10-14,81.0
2020-03-20,81.2699966430664
2018-11-06,82.11000061035156
2019-06-18,81.1500015258789
2019-05-17,83.19000244140625
2019-04-15,82.44000244140625
2019-03-14,80.80999755859375
2019-01-09,77.88999938964844
2018-08-02,74.91000366210938
2018-10-05,75.37999725341797
2019-08-21,77.36000061035156
2019-10-17,75.62999725341797
2020-03-23,77.12999725341797
2020-06-10,77.37000274658203
2019-02-25,77.5
2020-01-07,76.7300033569336
