Dates,SPG
2018-12-27,2740500.0
2019-09-09,2900400.0
2020-03-02,2588700.0
2020-05-20,1594000.0
2019-12-17,1265100.0
2020-03-05,2667700.0
2019-02-12,1512900.0
2019-01-11,1856200.0
2018-12-10,1112200.0
2019-08-23,1699400.0
2018-11-08,1124500.0
2019-07-22,1289700.0
2019-06-20,2048000.0
2018-09-05,1757100.0
2019-04-17,1916400.0
2019-09-24,1152000.0
2019-12-20,1187800.0
2020-05-26,1049700.0
2019-04-30,881000.0
2019-12-23,1282600.0
2020-03-11,852000.0
2020-05-29,1206000.0
2019-12-26,1303600.0
2020-06-01,1642500.0
2019-05-02,1253700.0
2019-02-27,1960800.0
2018-11-23,1773000.0
2019-08-06,1237700.0
2018-07-18,801200.0
2018-09-20,725200.0
2018-10-22,621500.0
2019-07-05,1695300.0
2019-06-03,1182900.0
2019-10-09,1928600.0
2019-10-11,1935800.0
2020-03-17,892300.0
2020-06-04,1280200.0
2019-10-14,1058900.0
2020-03-20,1209100.0
2018-11-06,1522200.0
2019-06-18,1116800.0
2019-05-17,966600.0
2019-04-15,1136400.0
2019-03-14,1663500.0
2019-01-09,1168700.0
2018-08-02,998000.0
2018-10-05,912800.0
2019-08-21,896700.0
2019-10-17,726300.0
2020-03-23,1932700.0
2020-06-10,1330400.0
2019-02-25,890000.0
2020-01-07,1298200.0
2020-03-26,1051900.0
2019-10-23,2563800.0
