Dates,ECL
2019-01-15,202.45159912109375
2019-11-20,205.28762817382812
2020-02-07,206.09364318847656
2020-02-10,204.630859375
2020-04-29,203.93429565429688
2019-11-26,203.61585998535156
2020-02-13,205.80506896972656
2019-01-30,206.04388427734375
2018-08-23,206.29266357421875
2018-09-24,206.6608428955078
2018-11-27,209.27793884277344
2018-10-26,205.2975616455078
2019-07-09,206.4817352294922
2019-06-07,201.52618408203125
2019-05-06,193.82415771484375
2019-04-04,193.47586059570312
2019-09-11,182.57960510253906
2019-11-29,179.56446838378906
2020-05-05,190.2816162109375
2019-12-02,192.96836853027344
2020-02-19,203.3372344970703
2020-05-08,197.9338836669922
2019-05-21,193.4559783935547
2019-03-18,182.93783569335938
2018-09-07,189.91343688964844
2018-08-06,185.66439819335938
2018-10-09,164.25
2019-02-14,179.18634033203125
2018-12-12,165.7373809814453
2019-07-24,169.10960388183594
2019-09-26,156.1694793701172
2019-10-28,159.2124481201172
2019-12-05,141.55322265625
2020-05-11,124.93158721923828
2019-07-03,152.61767578125
2020-02-25,151.430419921875
2020-05-14,161.31759643554688
2020-02-28,157.11727905273438
2019-08-08,161.0282440185547
2019-06-05,155.47108459472656
2018-07-20,146.3621063232422
2018-08-21,151.80953979492188
2018-10-24,146.9208221435547
2019-04-02,157.02749633789062
2019-03-01,158.7435302734375
2019-01-28,170.4165802001953
2018-12-27,179.44573974609375
2019-09-09,174.25772094726562
2020-03-02,180.38357543945312
2020-05-20,174.25772094726562
2019-12-17,172.09271240234375
2020-03-05,178.3383026123047
2019-02-12,172.56163024902344
2019-01-11,169.76808166503906
2018-12-10,174.35748291015625
2019-08-23,174.6368408203125
2018-11-08,179.6652374267578
2019-07-22,187.07810974121094
2019-06-20,197.1249237060547
2018-09-05,197.1249237060547
2019-04-17,193.0543212890625
2019-09-24,189.5623779296875
2019-12-20,191.07888793945312
2020-05-26,192.87474060058594
2019-04-30,192.5854034423828
2019-12-23,193.67288208007812
2020-03-11,197.30450439453125
2020-05-29,195.62838745117188
2019-12-26,193.75270080566406
2020-06-01,191.52784729003906
2019-05-02,191.99676513671875
2019-02-27,194.3014373779297
2018-11-23,204.4180908203125
2019-08-06,200.77650451660156
2018-07-18,201.98370361328125
2018-09-20,199.9384307861328
2018-10-22,200.03819274902344
2019-07-05,204.1187744140625
2019-06-03,206.87242126464844
2019-10-09,210.92308044433594
2019-10-11,212.0903778076172
2020-03-17,208.56851196289062
2020-06-04,211.65138244628906
2019-10-14,220.35130310058594
2020-03-20,221.48867797851562
2018-11-06,229.03126525878906
2019-06-18,229.5800018310547
2019-05-17,226.18783569335938
2019-04-15,225.38967895507812
2019-03-14,202.07350158691406
2019-01-09,203.58999633789062
2018-08-02,199.88999938964844
2018-10-05,206.22999572753906
2019-08-21,205.05999755859375
2019-10-17,205.24000549316406
2020-03-23,199.75
2020-06-10,201.64999389648438
2019-02-25,199.80999755859375
2020-01-07,196.6699981689453
2020-03-26,196.02999877929688
2019-10-23,191.75
