Dates,RMD
2019-10-09,154.1999969482422
2019-10-11,157.08999633789062
2020-03-17,159.25
2020-06-04,157.05999755859375
2019-10-14,158.8800048828125
2020-03-20,159.49000549316406
2018-11-06,159.1699981689453
2019-06-18,156.57000732421875
2019-05-17,161.14999389648438
2019-04-15,162.47000122070312
2019-03-14,157.0800018310547
2019-01-09,158.72999572753906
2018-08-02,157.77999877929688
2018-10-05,165.39999389648438
2019-08-21,169.77000427246094
2019-10-17,172.85000610351562
2020-03-23,172.1199951171875
2020-06-10,174.25999450683594
2019-02-25,179.47999572753906
2020-01-07,178.5500030517578
2020-03-26,180.74000549316406
2019-10-23,185.0
