Dates,BA
2019-12-17,141.4600067138672
2020-03-05,149.41000366210938
2019-02-12,147.2100067138672
2019-01-11,139.00999450683594
2018-12-10,140.4199981689453
2019-08-23,136.5
2018-11-08,137.0
2019-07-22,129.97000122070312
2019-06-20,133.8800048828125
2018-09-05,138.0800018310547
2019-04-17,137.6699981689453
2019-09-24,143.22999572753906
2019-12-20,127.12000274658203
2020-05-26,132.8800048828125
2019-04-30,125.80000305175781
2019-12-23,122.80999755859375
2020-03-11,132.57000732421875
2020-05-29,130.9199981689453
2019-12-26,129.72000122070312
2020-06-01,125.0
2019-05-02,118.9800033569336
2019-02-27,118.33000183105469
2018-11-23,126.18000030517578
2019-08-06,137.0
2018-07-18,133.27000427246094
2018-09-20,137.0
2018-10-22,141.00999450683594
2019-07-05,145.2100067138672
2019-06-03,149.13999938964844
2019-10-09,156.10000610351562
2019-10-11,145.3000030517578
2020-03-17,145.4499969482422
2020-06-04,154.0
2019-10-14,157.10000610351562
2020-03-20,181.27999877929688
2018-11-06,205.0
2019-06-18,222.94000244140625
2019-05-17,222.13999938964844
2019-04-15,211.1699981689453
2019-03-14,179.35000610351562
2019-01-09,187.14999389648438
2018-08-02,177.17999267578125
2018-10-05,207.14999389648438
2019-08-21,194.52000427246094
2019-10-17,188.24000549316406
2020-03-23,197.89999389648438
2020-06-10,184.55999755859375
2019-02-25,189.3000030517578
2020-01-07,183.61000061035156
2020-03-26,169.8699951171875
2019-10-23,173.4199981689453
