Dates,FLS
2020-02-10,47.02000045776367
2020-04-29,46.40999984741211
2019-11-26,46.95000076293945
2020-02-13,47.54999923706055
2019-01-30,46.869998931884766
2018-08-23,45.630001068115234
2018-09-24,45.0099983215332
2018-11-27,45.310001373291016
2018-10-26,45.220001220703125
2019-07-09,45.220001220703125
2019-06-07,43.470001220703125
2019-05-06,41.18000030517578
2019-04-04,41.40999984741211
2019-09-11,39.70000076293945
2019-11-29,38.7400016784668
2020-05-05,39.310001373291016
2019-12-02,40.099998474121094
2020-02-19,40.11000061035156
2020-05-08,38.150001525878906
2019-05-21,35.75
2019-03-18,30.0
2018-09-07,28.600000381469727
2018-08-06,28.350000381469727
2018-10-09,22.690000534057617
2019-02-14,24.690000534057617
2018-12-12,20.579999923706055
2019-07-24,21.440000534057617
2019-09-26,19.520000457763672
2019-10-28,19.600000381469727
2019-12-05,20.3799991607666
2020-05-11,18.979999542236328
2019-07-03,20.190000534057617
2020-02-25,20.6299991607666
2020-05-14,22.6200008392334
2020-02-28,21.520000457763672
2019-08-08,20.860000610351562
2019-06-05,22.520000457763672
2018-07-20,22.0
2018-08-21,23.100000381469727
2018-10-24,23.389999389648438
2019-04-02,24.709999084472656
2019-03-01,26.469999313354492
2019-01-28,26.75
2018-12-27,26.760000228881836
2019-09-09,25.549999237060547
2020-03-02,25.43000030517578
2020-05-20,23.049999237060547
2019-12-17,22.209999084472656
2020-03-05,23.780000686645508
2019-02-12,23.100000381469727
2019-01-11,23.59000015258789
2018-12-10,23.969999313354492
2019-08-23,24.8700008392334
2018-11-08,25.280000686645508
2019-07-22,25.540000915527344
2019-06-20,27.139999389648438
2018-09-05,28.209999084472656
2019-04-17,27.969999313354492
2019-09-24,25.90999984741211
2019-12-20,25.600000381469727
2020-05-26,27.209999084472656
2019-04-30,26.450000762939453
2019-12-23,27.0
2020-03-11,25.829999923706055
2020-05-29,24.5
2019-12-26,23.3799991607666
2020-06-01,21.709999084472656
2019-05-02,21.049999237060547
2019-02-27,22.270000457763672
2018-11-23,23.690000534057617
2019-08-06,24.270000457763672
2018-07-18,24.75
2018-09-20,24.799999237060547
2018-10-22,24.850000381469727
2019-07-05,26.510000228881836
2019-06-03,27.68000030517578
2019-10-09,26.780000686645508
2019-10-11,25.299999237060547
2020-03-17,26.030000686645508
2020-06-04,27.049999237060547
2019-10-14,27.899999618530273
2020-03-20,28.43000030517578
2018-11-06,31.3700008392334
2019-06-18,32.689998626708984
2019-05-17,31.600000381469727
2019-04-15,29.8799991607666
2019-03-14,26.850000381469727
2019-01-09,26.850000381469727
2018-08-02,26.219999313354492
2018-10-05,28.93000030517578
2019-08-21,28.270000457763672
2019-10-17,27.3799991607666
2020-03-23,27.350000381469727
2020-06-10,26.739999771118164
2019-02-25,27.6200008392334
2020-01-07,25.790000915527344
2020-03-26,25.530000686645508
2019-10-23,26.309999465942383
