Dates,LRCX
2019-07-02,200.1989288330078
2019-05-31,189.8402557373047
2019-12-12,190.81138610839844
2020-05-18,192.6849365234375
2019-09-27,197.63868713378906
2020-03-03,191.5961151123047
2020-05-21,192.56724548339844
2019-05-14,201.76841735839844
2018-08-31,194.7154998779297
2018-07-30,195.1372833251953
2018-10-02,201.19947814941406
2019-04-12,204.0834197998047
2019-03-11,202.81800842285156
2019-02-07,204.02456665039062
2019-07-17,206.44749450683594
2019-09-19,196.5694580078125
2019-10-21,197.5013427734375
2019-12-18,195.96128845214844
2020-03-06,199.4043426513672
2019-10-03,203.70083618164062
2020-03-09,206.49652099609375
2020-05-27,208.8801727294922
2019-12-24,217.37510681152344
2020-03-12,222.41708374023438
2018-12-20,223.5745849609375
2019-08-01,225.9484405517578
2018-08-14,227.5179443359375
2018-07-13,229.54847717285156
2018-10-17,230.39207458496094
2019-05-29,231.06893920898438
2019-03-26,230.46075439453125
2019-02-22,232.2656707763672
2019-10-04,233.1092529296875
2019-11-05,232.34413146972656
2019-12-27,230.82369995117188
2020-06-02,233.69784545898438
2019-12-30,231.3632049560547
2020-03-18,236.9937744140625
2020-06-05,238.20033264160156
2019-07-15,225.6934051513672
2018-12-03,227.8425750732422
2019-06-13,227.13278198242188
2019-01-04,224.7765655517578
2018-08-29,225.81170654296875
2019-02-05,229.97206115722656
2018-11-01,228.8580322265625
2019-08-16,224.48080444335938
2019-04-10,229.83404541015625
2019-09-17,231.30294799804688
2019-10-15,233.738037109375
2020-01-02,232.93948364257812
2020-06-08,238.6279296875
2019-10-18,231.44097900390625
2020-03-24,232.76205444335938
2020-06-11,230.39598083496094
2020-01-08,235.08868408203125
2019-04-25,231.58885192871094
2019-07-30,229.88331604003906
2019-02-20,261.844970703125
2018-07-11,266.2320556640625
2018-09-13,277.2737121582031
2018-10-15,272.58099365234375
2019-06-28,273.6358642578125
2018-12-18,267.20806884765625
2018-11-16,274.32598876953125
2019-10-02,274.16827392578125
2020-03-27,274.0203857421875
2020-01-10,271.6148681640625
2019-10-24,270.2346496582031
2020-03-30,268.8248596191406
2020-06-17,267.4249572753906
2020-01-14,266.192626953125
2020-04-02,268.60797119140625
2019-01-02,271.2008056640625
2019-08-14,279.6693420410156
2018-10-30,278.7032165527344
2019-06-11,272.84716796875
2019-05-10,270.2543640136719
2019-04-08,260.16900634765625
2018-08-27,258.2761535644531
2018-07-26,265.2067565917969
2018-09-28,265.7489929199219
2019-03-07,267.1094970703125
2019-10-30,263.05755615234375
2020-01-17,259.22259521484375
2020-06-23,254.1946563720703
2020-04-08,259.153564453125
2020-06-26,261.0760192871094
2019-03-22,266.04473876953125
2019-01-17,264.2307434082031
2019-08-29,266.32977294921875
2018-11-14,272.6763916015625
2019-06-26,281.8844299316406
2018-09-11,279.16162109375
2018-07-09,281.4388732910156
2018-08-10,287.6963806152344
2019-04-23,285.17156982421875
2019-09-30,290.38946533203125
2020-01-23,294.4687194824219
2019-11-08,291.53802490234375
2020-04-14,291.5677185058594
2019-11-11,292.00335693359375
2020-01-29,290.79541015625
2020-04-17,289.6468811035156
2018-07-24,289.50823974609375
2018-09-26,294.9440002441406
2019-05-08,291.775634765625
2019-03-05,286.33001708984375
2019-02-01,293.3102722167969
2018-12-31,297.0033874511719
2018-11-29,294.98358154296875
2019-08-12,291.4290771484375
2019-07-11,294.34991455078125
2019-09-13,297.7856140136719
2019-11-14,295.3895263671875
2020-04-20,302.9242858886719
2020-02-04,304.9539794921875
2020-04-23,305.62725830078125
2018-12-14,308.26092529296875
2019-08-27,309.33026123046875
2018-08-08,303.5084228515625
2018-10-11,290.884521484375
2018-11-12,298.7063903808594
2019-07-26,295.27069091796875
2019-06-24,307.8748474121094
2019-05-23,295.26080322265625
2019-03-20,305.3896484375
2019-01-15,322.181884765625
2019-11-20,322.39971923828125
2020-02-07,320.3204650878906
2020-02-10,312.2807922363281
2020-04-29,316.6669616699219
2019-11-26,322.4492492675781
2020-02-13,331.3106994628906
2019-01-30,338.2018737792969
2018-08-23,335.9444274902344
2018-09-24,322.12249755859375
2018-11-27,330.54833984375
2018-10-26,325.2413330078125
2019-07-09,313.6669616699219
2019-06-07,297.488525390625
2019-05-06,289.3300476074219
2019-04-04,293.666748046875
2019-09-11,282.8745422363281
2019-11-29,290.528076171875
2020-05-05,297.3598327636719
2019-12-02,288.5775451660156
2020-02-19,303.2113952636719
2020-05-08,296.17169189453125
2019-05-21,291.4984130859375
2019-03-18,264.9535217285156
2018-09-07,284.7260437011719
2018-08-06,273.89422607421875
2018-10-09,235.4977569580078
2019-02-14,259.19110107421875
2018-12-12,211.42816162109375
2019-07-24,227.0323028564453
2019-09-26,192.2200164794922
2019-10-28,193.08140563964844
2019-12-05,186.03182983398438
2020-05-11,190.94277954101562
2019-07-03,229.72897338867188
2020-02-25,232.6274871826172
2020-05-14,259.3116455078125
2020-02-28,240.26718139648438
2019-08-08,254.29156494140625
2019-06-05,239.052001953125
2018-07-20,222.44784545898438
2018-08-21,219.69876098632812
2018-10-24,217.28829956054688
2019-04-02,249.75953674316406
2019-03-01,255.2079315185547
2019-01-28,265.69635009765625
2018-12-27,257.2597961425781
2019-09-09,257.7578125
2020-03-02,271.43359375
2020-05-20,261.77191162109375
2019-12-17,269.64068603515625
2020-03-05,277.9178466796875
2019-02-12,265.6764221191406
2019-01-11,242.66766357421875
2018-12-10,270.70648193359375
2019-08-23,262.9173583984375
2018-11-08,265.6166687011719
2019-07-22,263.3655700683594
2019-06-20,260.8157043457031
2018-09-05,278.884033203125
2019-04-17,254.27163696289062
2019-09-24,234.0916748046875
2019-12-20,233.59364318847656
2020-05-26,241.85089111328125
2019-04-30,243.59397888183594
2019-12-23,246.65187072753906
2020-03-11,264.3516540527344
2020-05-29,261.1942138671875
2019-12-26,254.9688720703125
2020-06-01,247.20965576171875
2019-05-02,267.93743896484375
2019-02-27,250.84523010253906
