Dates,SYK
2020-02-19,198.39999389648438
2020-05-08,189.60000610351562
2019-05-21,185.8800048828125
2019-03-18,172.6300048828125
2018-09-07,183.55999755859375
2018-08-06,175.6199951171875
2018-10-09,154.25
2019-02-14,164.3000030517578
2018-12-12,143.8300018310547
2019-07-24,140.16000366210938
2019-09-26,139.0
2019-10-28,149.5
2019-12-05,139.3800048828125
2020-05-11,126.5
2019-07-03,143.44000244140625
2020-02-25,153.0500030517578
2020-05-14,163.3300018310547
2020-02-28,159.22000122070312
2019-08-08,162.9600067138672
2019-06-05,166.49000549316406
2018-07-20,144.6699981689453
2018-08-21,149.5800018310547
2018-10-24,148.07000732421875
2019-04-02,165.66000366210938
2019-03-01,165.7899932861328
2019-01-28,176.42999267578125
2018-12-27,182.72000122070312
2019-09-09,172.0800018310547
2020-03-02,175.38999938964844
2020-05-20,172.5399932861328
2019-12-17,174.80999755859375
2020-03-05,189.50999450683594
2019-02-12,184.72000122070312
2019-01-11,178.91000366210938
2018-12-10,181.9199981689453
2019-08-23,182.47999572753906
2018-11-08,188.1199951171875
2019-07-22,191.9600067138672
2019-06-20,185.00999450683594
2018-09-05,192.67999267578125
2019-04-17,186.42999267578125
2019-09-24,180.6199951171875
2019-12-20,178.57000732421875
2020-05-26,187.92999267578125
2019-04-30,185.83999633789062
2019-12-23,192.19000244140625
2020-03-11,192.0800018310547
2020-05-29,193.63999938964844
2019-12-26,188.1699981689453
2020-06-01,181.13999938964844
2019-05-02,179.3800048828125
2019-02-27,180.27000427246094
2018-11-23,191.9199981689453
2019-08-06,188.25999450683594
2018-07-18,190.97999572753906
2018-09-20,185.08999633789062
2018-10-22,184.13999938964844
2019-07-05,186.3000030517578
2019-06-03,191.6199951171875
2019-10-09,195.35000610351562
2019-10-11,195.72999572753906
2020-03-17,197.25
2020-06-04,198.38999938964844
2019-10-14,200.6999969482422
2020-03-20,198.0800018310547
2018-11-06,207.02999877929688
2019-06-18,206.0
2019-05-17,200.6999969482422
2019-04-15,201.14999389648438
2019-03-14,183.5399932861328
2019-01-09,187.7899932861328
2018-08-02,188.47999572753906
2018-10-05,191.47000122070312
2019-08-21,189.55999755859375
2019-10-17,190.02000427246094
2020-03-23,187.11000061035156
2020-06-10,185.08999633789062
2019-02-25,186.8000030517578
2020-01-07,176.3000030517578
2020-03-26,175.61000061035156
2019-10-23,173.75999450683594
