Dates,GOOG
2019-12-27,1243.3199462890625
2020-06-02,1239.0899658203125
2019-12-30,1246.739990234375
2020-03-18,1248.300048828125
2020-06-05,1245.0
2019-07-15,1244.02001953125
2018-12-03,1226.0
2019-06-13,1231.22998046875
2019-01-04,1196.97998046875
2018-08-29,1189.06005859375
2019-02-05,1211.43994140625
2018-11-01,1218.2039794921875
2019-08-16,1206.0799560546875
2019-04-10,1208.3499755859375
2019-09-17,1215.0
2019-10-15,1228.3900146484375
2020-01-02,1226.3299560546875
2020-06-08,1247.3299560546875
2019-10-18,1254.739990234375
2020-03-24,1263.324951171875
2020-06-11,1258.8900146484375
2020-01-08,1254.6290283203125
2019-04-25,1250.5999755859375
2019-07-30,1259.8900146484375
2019-02-20,1264.0
2018-07-11,1269.5999755859375
2018-09-13,1299.31005859375
2018-10-15,1281.5899658203125
2019-06-28,1269.3599853515625
2018-12-18,1267.6700439453125
2018-11-16,1274.6199951171875
2019-10-02,1294.1300048828125
2020-03-27,1298.9300537109375
2020-01-10,1293.72998046875
2019-10-24,1323.739990234375
2020-03-30,1318.0
2020-06-17,1306.425048828125
2020-01-14,1310.0
2020-04-02,1304.300048828125
2019-01-02,1317.0
2019-08-14,1334.8800048828125
2018-10-30,1335.529052734375
2019-06-11,1327.699951171875
2019-05-10,1315.0
2019-04-08,1312.5899658203125
2018-08-27,1308.72998046875
2018-07-26,1311.31005859375
2018-09-28,1314.800048828125
2019-03-07,1318.3599853515625
2019-10-30,1310.2049560546875
2020-01-17,1305.8299560546875
2020-06-23,1298.4610595703125
2020-04-08,1325.800048828125
2020-06-26,1329.3580322265625
2019-03-22,1344.0
2019-01-17,1359.449951171875
2019-08-29,1349.9749755859375
2018-11-14,1351.199951171875
2019-06-26,1355.7750244140625
2018-09-11,1353.093017578125
2018-07-09,1364.6800537109375
2018-08-10,1365.0
2019-04-23,1360.469970703125
2019-09-30,1358.0999755859375
2020-01-23,1363.6400146484375
2019-11-08,1359.800048828125
2020-04-14,1350.260009765625
2019-11-11,1361.3270263671875
2020-01-29,1364.530029296875
2020-04-17,1353.0
2018-07-24,1338.0
2018-09-26,1368.1400146484375
2019-05-08,1372.5
2019-03-05,1396.5
2019-02-01,1402.989990234375
2018-12-31,1411.5799560546875
2018-11-29,1427.3299560546875
2019-08-12,1434.928955078125
2019-07-11,1440.52001953125
2019-09-13,1441.800048828125
2019-11-14,1441.39501953125
2020-04-20,1451.989990234375
2020-02-04,1481.2950439453125
2020-04-23,1491.8499755859375
2018-12-14,1503.2139892578125
2019-08-27,1495.52001953125
2018-08-08,1495.4949951171875
2018-10-11,1438.0699462890625
2018-11-12,1456.0
2019-07-26,1465.4300537109375
2019-06-24,1457.280029296875
2019-05-23,1470.1300048828125
2019-03-20,1490.0
2019-01-15,1469.5
2019-11-20,1463.8399658203125
2020-02-07,1482.0
2020-02-10,1485.8399658203125
2020-04-29,1509.5
2019-11-26,1529.6300048828125
2020-02-13,1520.6949462890625
2019-01-30,1527.1800537109375
2018-08-23,1520.739990234375
2018-09-24,1531.6300048828125
2018-11-27,1532.10595703125
2018-10-26,1529.6400146484375
2019-07-09,1512.2149658203125
2019-06-07,1436.969970703125
2019-05-06,1438.1400146484375
2019-04-04,1415.699951171875
