Dates,MAR
2019-05-02,71.5199966430664
2019-02-27,77.36000061035156
2018-11-23,84.87000274658203
2019-08-06,89.16000366210938
2018-07-18,90.2699966430664
2018-09-20,90.2699966430664
2018-10-22,89.5199966430664
2019-07-05,94.55000305175781
2019-06-03,94.7699966430664
2019-10-09,91.52999877929688
2019-10-11,88.0999984741211
2020-03-17,89.30000305175781
2020-06-04,94.01000213623047
2019-10-14,96.20999908447266
2020-03-20,98.08000183105469
2018-11-06,106.7699966430664
2019-06-18,110.51000213623047
2019-05-17,106.30999755859375
2019-04-15,100.05000305175781
2019-03-14,90.61000061035156
2019-01-09,90.06999969482422
2018-08-02,86.79000091552734
2018-10-05,90.69999694824219
2019-08-21,90.80000305175781
2019-10-17,90.16999816894531
2020-03-23,88.66000366210938
2020-06-10,88.27999877929688
2019-02-25,88.83000183105469
2020-01-07,83.87999725341797
2020-03-26,82.12000274658203
2019-10-23,80.4000015258789
